indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
———————————,10845,genus,333389,A.Cremnomys,,,,,,,,,
————————————,10846,species,333390,A.Cremnomys cutchicus,333390,B.Cremnomys cutchicus,=,,,,canonicalName,,tip
———————————,10847,genus,337220,A.Hyomys,,,,,,,,,
———————————,10849,genus,337223,A.Mastacomys,,,,,,,,,
————————————,10850,species,337222,A.Mastacomys fuscus,337222,B.Mastacomys fuscus,=,,,,canonicalName,,tip
———————————,10851,genus,337225,A.Xeromys,,,,,,,,,
————————————,10852,species,337226,A.Xeromys myoides,337226,B.Xeromys myoides,=,,,,canonicalName,,tip
———————————,10853,genus,337227,A.Mesembriomys,337227,B.Mesembriomys,=,,,,canonicalName,,subtree=
———————————,10856,genus,337229,A.Zyzomys,337229,B.Zyzomys,=,,,,canonicalName,,
————————————,10857,species,337230,A.Zyzomys argurus,337230,B.Zyzomys argurus,=,,,,canonicalName,,tip
————————————,10858,species,442623,A.Zyzomys maini,442623,B.Zyzomys maini,=,,,,canonicalName,,tip
————————————,10859,species,442624,A.Zyzomys palatilis,2303643,B.Zyzomys palatalis,=,,,,,ncbi_id; canonicalName,tip
————————————,10860,species,442625,A.Zyzomys pedunculatus,442625,B.Zyzomys pedunculatus,=,,,,canonicalName,,tip
————————————,10861,species,442626,A.Zyzomys woodwardi,442626,B.Zyzomys woodwardi,=,,,,canonicalName,,tip
———————————,10862,genus,349694,A.Bullimus,349694,B.Bullimus,=,,,,canonicalName,,
————————————,10863,species,349695,A.Bullimus bagobus,349695,B.Bullimus bagobus,=,,,,canonicalName,,tip
————————————,10864,species,349696,A.Bullimus gamay,349696,B.Bullimus gamay,=,,,,canonicalName,,tip
————————————,10865,species,349697,A.Bullimus luzonicus,349697,B.Bullimus luzonicus,=,,,,canonicalName,,tip
———————————,10866,genus,349700,A.Crateromys,,,,,,,,,
————————————,10867,species,349701,A.Crateromys heaneyi,349701,B.Crateromys heaneyi,=,,,,canonicalName,,tip
———————————,10868,genus,349702,A.Crunomys,349702,B.Crunomys,=,,,,canonicalName,,
————————————,10869,species,349703,A.Crunomys melanius,349703,B.Crunomys melanius,=,,,,canonicalName,,tip
————————————,10870,species,349704,A.Crunomys suncoides,349704,B.Crunomys suncoides,=,,,,canonicalName,,tip
————————————,10871,species,1330376,A.Crunomys celebensis,1330376,B.Crunomys celebensis,=,,,,scientificName,,tip
———————————,10872,genus,349705,A.Limnomys,349705,B.Limnomys,=,,,,canonicalName,,
————————————,10873,species,349706,A.Limnomys bryophilus,349706,B.Limnomys bryophilus,=,,,,canonicalName,,tip
————————————,10874,species,349707,A.Limnomys sibuanus,349707,B.Limnomys sibuanus,=,,,,canonicalName,,tip
———————————,10875,genus,349712,A.Tarsomys,,,,,,,,,
————————————,10876,species,349713,A.Tarsomys apoensis,349713,B.Tarsomys apoensis,=,,,,canonicalName,,tip
———————————,10877,genus,349722,A.Carpomys,,,,,,,,,
